SPAC,Newco,Ticker,Announced,Closed,TEV ($M),TEV/IPO,Sector,Geography,Redeemed,Common,Warrant,Institutional Ownership,Chairman,CEO,President,COO,CFO,Director 1,Director 2,Director 3,Director 4,Director 5,Director 6,Director 7,Director 8,Director 9,Director 10,Director 11,Director 12,Director 13,Director 14,Director 15,Date +3mo,Date +6mo,Date +12mo,Date +0mo Price,Date +3mo Price,Date +6mo Price,Date +12mo Price
Social Capital,Virgin Galactic,SPCE,7/9/2019,10/25/2019,"1,502",218%,Travel & Hospitality,US/Canada,23.00%,$27.00 ,,28.693,Chamath Palihapitiya,"Michael Colglazier, MBA","Michael Colglazier, MBA",#N/A,"Douglas T. Ahrens, MBA, CPA","Wanda M. Austin, PhD",Adam Bain,"Michael Colglazier, MBA","Craig Stuart Kreeger, MBA",Evan M. Lovell,"George N. Mattson, MBA","Wayne Gilbert West, MBA",,,,,,,,,1/23/2020,4/22/2020,10/19/2020,#N/A,19.12,#N/A,#N/A
Greenland Acq,Zhongchai Holding,GTEC,,10/24/2019,101,230%,Industrial,Asia,86.20%,$9.77 ,$1.50 ,0.9982,"Peter Zuguang Wang, MBA",Zu Guang Wang,Zu Guang Wang,#N/A,Jing Jin,"Charles Athle Nelson, MBA",Frank Shen,"Everett Xiaolin Wang, PhD","Ming Zhao, PhD, CPA",,,,,,,,,,,,1/22/2020,4/21/2020,10/18/2020,#N/A,4.1,#N/A,#N/A
Modern Media,Akazoo,SONG,1/24/2019,9/11/2019,469,224%,Media & Entertainment,Europe,93.40%,,,#N/A,"Lewis W. Dickey, Jr., MBA",Michael Knott,#N/A,#N/A,"Pierre Schreuder, CFA","Panagiotis Dimitropoulos, MBA",Maja Lapcevic,Asit Mehra,Colin J. G. Miles,Athan Stephanopoulos,,,,,,,,,,,12/10/2019,3/9/2020,9/5/2020,#N/A,5.74,#N/A,#N/A
Constellation Alpha,DermTech,DMTK,5/29/2019,8/29/2019,61,42%,Healthcare,US/Canada,96.70%,$43.39 ,$6.93 ,41.8907,Matthew L. Posard,"John D. Dobak, MD","John D. Dobak, MD",Claudia Ibarra,"Kevin Sun, MBA","Cynthia L. Collins, MBA","John D. Dobak, MD",Gary E. Jacobs,"Scott R. Pancoast, MBA",Enrico Picozza,"Herm Rosenman, MBA",,,,,,,,,,11/27/2019,2/25/2020,8/23/2020,#N/A,8.02,#N/A,#N/A
Black Ridge Acq,Allied Esports,AESE,12/19/2018,8/9/2019,213,154%,Media & Entertainment,US/Canada,88.90%,$2.53 ,$0.25 ,2.8757,Lyle Arnold Berman,Kwok Leung Ng,Adam J. Pliska,David Moon,"Anthony A. Hung, MBA",Bradley Berman,"Yinghua Chen, EMBA",Ho Min Kim,Tae Hyung Kim,Joe Lahti,Yang Yang Li,Kwok Leung Ng,Benjamin S. Oehler,Adam J. Pliska,Maya Rogers,,,,,,11/7/2019,2/5/2020,8/3/2020,#N/A,4.19,#N/A,#N/A
Capitol IV,Nesco,CTOS,4/8/2019,7/31/2019,"1,086",270%,Industrial,US/Canada,64.80%,$9.44 ,,6.2208,Marshall Andrew Heinberg,Fred Ross,"Ryan McMonagle, MBA","Ryan McMonagle, MBA",Bradley Meader,Paul T. Bader,Rahman D'Argenio,"Mark D. Ein, MBA","David Glatt, MBA","Bryan L. Kelln, MBA","John-Paul R. Munfa, MBA","Georgia R. Nelson, MBA",Fred Ross,Louis Samson,David Wolf,,,,,,10/29/2019,1/27/2020,7/25/2020,#N/A,4.95,#N/A,#N/A
Thunder Bridge,Repay,RPAY,1/22/2019,7/11/2019,580,223%,Financial,US/Canada,27.20%,$23.43 ,,89.5958,Peter J. Kight,"John Morris, MBA, CPA",Shaler V. Alias,"Michael F. Jackson, MBA","Timothy Murphy, MBA",Shaler V. Alias,Paul R. Garcia,Maryann B. Goebel,"Robert H. Hartheimer, MBA",William I. Jacobs,"John Morris, MBA, CPA",Jeremy S. Schein,"Richard Edward Thornburgh, MBA",,,,,,,,10/9/2019,1/7/2020,7/5/2020,#N/A,13.3,#N/A,#N/A
Jensyn Acq,Peck Electric ,ISUN,2/27/2019,6/19/2019,53,132%,Industrial,US/Canada,98.50%,$12.75 ,$0.61 ,20.8855,Jeffery Peck,Jeffery Peck,Jeffery Peck,Fredrick Myrick,John Sullivan,"Daniel Dus, MBA",Stewart Martin,Claudia Michel Meer,Fredrick Myrick,,,,,,,,,,,,9/17/2019,12/16/2019,6/13/2020,#N/A,5.33,#N/A,#N/A
MTech Acq,Akerna,KERN,10/11/2018,6/17/2019,81,142%,Cannabis,US/Canada,77.40%,$4.51 ,$1.05 ,22.3331,Jessica Billingsley,Jessica Billingsley,#N/A,Ray Thompson,"John Michael Fowle, Jr., MBA","Mark D. Iwanowski, MBA","Matthew R. Kane, MBA","Tahira Rehmatullah, MBA",Scott Sozio,,,,,,,,,,,,9/15/2019,12/14/2019,6/11/2020,#N/A,8.52,#N/A,#N/A
One Madison,Ranpak,PACK,12/13/2018,6/3/2019,"1,003",334%,Consumer,US/Canada,51.40%,$19.48 ,,90.0807,"Omar Marwan Asali, MBA, CPA","Omar Marwan Asali, MBA, CPA",#N/A,#N/A,William E. Drew,Thomas F. Corley,Pamela El,"Michael S. Gliedman, MBA",Michael A. Jones,Robert Charles King,Stephen A. Kovach,Salil Seshadri,"Alicia M. Tranen, MBA","Kurt Zumwalt, MBA",,,,,,,9/1/2019,11/30/2019,5/28/2020,#N/A,5.6,#N/A,#N/A
