SPAC,Newco,Ticker,Announced,Closed,TEV ($M),TEV/IPO,Sector,Geography,Redeemed,Common,Warrant,Institutional Ownership,Chairman,CEO,President,COO,CFO,Director 1,Director 2,Director 3,Director 4,Director 5,Director 6,Director 7,Director 8,Director 9,Director 10,Director 11,Director 12,Director 13,Director 14,Director 15,Date +3mo,Date +6mo,Date +12mo,Date +0mo Price,Date +3mo Price,Date +6mo Price,Date +12mo Price
M III Acq,IEA ,IEA,11/3/2017,3/26/2018,293,195%,Industrial,US/Canada,53.20%,$12.82 ,$2.25 ,52.5393,Derek W. Glanvill,John Paul Roehm,John Paul Roehm,Michael E. Stoecker,"Peter J. Moerbeek, MBA, CPA","John M. Eber, MBA",Charles Garner,Laurene Bielski Mahon,Terence Ray Montgomery,"Michael Della Rocca, MBA",John Paul Roehm,Matthew Underwood,,,,,,,,,6/24/2018,9/22/2018,3/21/2019,8.71,9.12,#N/A,#N/A
Andina II,Lazydays,LAZY,10/27/2017,3/15/2018,209,515%,Travel & Hospitality,US/Canada,74.10%,$20.66 ,$4.66 ,47.7775,"William P. Murnane, MBA","William P. Murnane, MBA",#N/A,Srinivas Kuchipudi,"Nicholas J. Tomashot, MBA","Jerry M. Comstock, Jr.",James J. Fredlake,Jordan Gnat,"Erika Serow, MBA",Chris Shackelton,,,,,,,,,,,6/13/2018,9/11/2018,3/10/2019,#N/A,8.5,#N/A,#N/A
Forum I,ConvergeOne,CVON,,2/22/2018,"1,200",689%,Technology,US/Canada,98.20%,,,#N/A,"John A. McKenna, Jr.","John A. McKenna, Jr.","John A. McKenna, Jr.",#N/A,#N/A,#N/A,,,,,,,,,,,,,,,5/23/2018,8/21/2018,2/17/2019,#N/A,9.08,#N/A,#N/A
Global Partner Acq,Purple Innovation,PRPL,11/3/2017,2/22/2018,485,313%,Consumer,US/Canada,80.10%,$33.83 ,,97.4188,Paul J. Zepf,"Joseph B. Megibow, MBA",#N/A,John A. Legg,"Craig L. Phillips, CPA",Pano T. Anthos,"Gary T. DiCamillo, MBA",Adam Louis Gray,Claudia Hollingsworth,Gary A. Kiedaisch,"Joseph B. Megibow, MBA","Dawn M. Zier, MBA",,,,,,,,,5/23/2018,8/21/2018,2/17/2019,#N/A,7.34,#N/A,#N/A
Silver Run II,Alta Mesa & Kingfisher Midstream,AMRQQ,8/16/2017,2/9/2018,"3,800",367%,Energy,US/Canada,0.00%,,,#N/A,"James T. Hackett, MBA","Mark P. Castiglione, MBA","John H. Campbell, Jr.","John H. Campbell, Jr.",#N/A,Don Dimitrievich,Sylvia J. Kerrigan,"Pierre Fernand Lapeyre, Jr., MBA","David Matthew Leuschen, MBA",William M. McMullen,Donald R. Sinclair,Diana J. Walters,,,,,,,,,5/10/2018,8/8/2018,2/4/2019,#N/A,7.39,#N/A,#N/A
JM Global,China Sunlong,CCNC,8/28/2017,2/6/2018,92,184%,Industrial,Asia,83.70%,$3.79 ,$0.15 ,5.9212,Wei Xu,#SPILL!,Wei Xu,Jianan Liang,"Yi Li, MBA",Mingyue Cai,Fei Gan,Bi Bo Lin,Chengwei Mo,Jin Wang,Zi Jing Xu,,,,,,,,,,5/7/2018,8/5/2018,2/1/2019,#N/A,4.075,#N/A,#N/A
Boulevard II,Estre Ambiental S.A,ESTR,8/16/2017,12/21/2017,"1,100",297%,Industrial,LatAm,96.70%,,,1.6611,"Gesner José de Oliveira Filho, PhD","Julio Cesar de Sá Volotão, EMBA",#N/A,#N/A,"Rogerio Wellausen, MBA",Paulo Gozzi,"Sérgio Messias Pedreiro, MBA",Ricardo Pelúcio,,,,,,,,,,,,,3/21/2018,6/19/2018,12/16/2018,#N/A,9.97,#N/A,#N/A
CF Corp,FGL,FG,5/24/2017,11/30/2017,"2,240",325%,Financial,US/Canada,0.00%,,,#N/A,#N/A,"Chris Blunt, MBA","Chris Blunt, MBA",Bonnie G. Wasgatt,"John T. Fleurant, CPA","Chris Blunt, MBA",Michael J. Nolan,Randy Quirk,,,,,,,,,,,,,2/28/2018,5/29/2018,11/25/2018,31.1,9.64,#N/A,#N/A
Double Eagle,Williams Scotsman,WSC,8/21/2017,11/29/2017,"1,100",220%,Industrial,US/Canada,42.80%,$28.74 ,,76.8615,Erik Olsson,Bradley L. Soultz,Kelly Williams,Kelly Williams,"Tim D. Boswell, MBA","Mark S. Bartlett, CPA",Sara R. Dial,Jeffrey S. Goble,"Gerard Edward Holthaus, CPA",Gary Lindsay,Kimberly J. McWaters,Stephen James Robertson,"Jeffrey Franklin Sagansky, MBA",Bradley L. Soultz,"Michael W. Upchurch, CPA",,,,,,2/27/2018,5/28/2018,11/24/2018,#N/A,11.95,#N/A,#N/A
Atlantic Alliance,N/A,,N/A,11/3/2017,,,,,100.00%,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,2/1/2018,5/2/2018,10/29/2018,#N/A,#N/A,#N/A,#N/A
GP Investments,Rimini Street,RMNI,5/16/2017,10/10/2017,838,486%,Technology,US/Canada,91.80%,$8.62 ,$1.10 ,20.4118,Seth A. Ravin,Seth A. Ravin,Sebastian Grady,Gerard Brossard,"Michael L. Perica, MBA",Jack L. Acosta,Thomas M. Ashburn,Antônio Carlos Augusto Ribeiro Bonchristiano,"Steven M. Capelli, MBA","Robin Murray, MBA",Jay Snyder,Margaret L. Taylor,,,,,,,,,1/8/2018,4/8/2018,10/5/2018,#N/A,7.59,#N/A,#N/A
Axar Acq,N/A,,N/A,10/2/2017,,,,,100.00%,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,12/31/2017,3/31/2018,9/27/2018,#N/A,#N/A,#N/A,#N/A
Pacific Special,Borqs,BRQS,12/27/2016,8/18/2017,303,507%,Technology,Asia,78.20%,$1.21 ,$0.10 ,1.5446,Sek Yuen Chan,Sek Yuen Chan,Sek Yuen Chan,#N/A,"Kaik Wong Chan, MBA","Wan Yu Chow, PhD",Yaqi Feng,"Heung Sang Fong, MBA, CPA",Ji Li,Shizhu Long,"Ze Xian Shen, CPA","Ye Tao, PhD",,,,,,,,,11/16/2017,2/14/2018,8/13/2018,#N/A,4.7,#N/A,#N/A
Harmony Merger,NextDecade,NEXT,4/18/2017,7/24/2017,"1,010",879%,Technology,US/Canada,72.60%,$2.21 ,$0.03 ,83.632,Matthew K. Schatzman,Matthew K. Schatzman,Matthew K. Schatzman,#N/A,"Brent E. Wahl, MBA",Khalifa Abdulla Khamis Al-Romaithi,"Brian Belke, CFA, MBA",Frank Joseph Chapman,Taewon Jun,Avinash Kripalani,Thanasi Skafidas,"Bill Vrattos, MBA","Louis Spencer Wells, MBA",,,,,,,,10/22/2017,1/20/2018,7/19/2018,#N/A,10.07,#N/A,#N/A
Quinpario II,SourceHOV and Novitex,XELA,2/22/2017,7/12/2017,"2,700",771%,Technology,US/Canada,90.10%,$2.04 ,$0.07 ,14.0942,Parvinder S. Chadha,Ronald C. Cogburn,"Suresh Yannamani, MBA",#N/A,"Shrikant Sortur, CPA",Martin P. Akins,Marc A. Beilinson,J. Coley Clark,Ronald C. Cogburn,"John H. Rexford, MBA","James Gregory Reynolds, CPA","William L. Transier, MBA, CPA",,,,,,,,,10/10/2017,1/8/2018,7/7/2018,#N/A,14.16,#N/A,#N/A
Conyers Park,Atkins,SMPL,9/8/2020,7/7/2017,856,213%,Food,US/Canada,0.00%,$32.22 ,,98.8889,"James Marshall Kilts, MBA",Joseph E. Scalzo,Joseph E. Scalzo,David Wallis,"Todd E. Cunfer, MBA","Clayton C. Daley, Jr., MBA","Nomi P. Ghez, PhD",Michelle P. Goolsby,"James Edward Healey, CPA",Robert G. Montgomery,"Brian K. Ratzan, MBA",David W. Ritterbush,Joseph E. Scalzo,"Joseph J. Schena, MBA",David J. West,"James D. White, MBA",,,,,10/5/2017,1/3/2018,7/2/2018,#N/A,12.08,#N/A,#N/A
Capitol III,Cision,CISN,3/20/2017,6/30/2017,"2,400",738%,Technology,US/Canada,1.50%,,,#N/A,#N/A,Abel Clark,#N/A,Nicole Guillot,#N/A,"Mary Ann Sigler, CPA",,,,,,,,,,,,,,,9/28/2017,12/27/2017,6/25/2018,#N/A,12.95,#N/A,#N/A
KLR Energy,Rosehill,ROSE,12/20/2016,4/27/2017,438,515%,Energy,US/Canada,70.90%,,,#N/A,#N/A,John Bradley Fisher,John Bradley Fisher,#N/A,#N/A,"Brian K. Ayers, MBA","Francis A. Contino, CPA",Paul J. Ebner,Edward Kovalik,"William E. Mayer, MBA","Harry F. Quarls, MBA","Frank B. Rosenberg, MBA",,,,,,,,,7/26/2017,10/24/2017,4/22/2018,#N/A,7.9,#N/A,#N/A
Pace Holdings,Playa,PLYA,12/13/2016,3/13/2017,"1,750",389%,Travel & Hospitality,LatAm,8.70%,$7.37 ,,55.4244,"Bruce D. Wardinski, MBA","Bruce D. Wardinski, MBA","Bruce D. Wardinski, MBA",Greg Maliassas,"Ryan Hymel, MBA","H. Charles Floyd, MBA",Rocky B. Fried,"Hal Stanley Jones, MBA, CPA",Mahmood Jaffer Khimji,Elizabeth Lieberman,"Maria M. Miller, MBA",Leticia Navarro,Karl Ivar Peterson,,,,,,,,6/11/2017,9/9/2017,3/8/2018,#N/A,10.08,#N/A,#N/A
Hennessy II,Daseke,DSKE,,2/27/2017,702,352%,Industrial,US/Canada,58.20%,$8.27 ,$0.30 ,30.855,"Brian Bonner, MBA",Jonathan M. Shepko,#N/A,Rick Williams,"Jason R. Bates, MBA","Don R. Daseke, MBA, CPA",Grant Garbers,"Daniel J. Hennessy, MBA","Charles F. Serianni, CPA",Jonathan M. Shepko,Ena Williams,,,,,,,,,,5/28/2017,8/26/2017,2/22/2018,#N/A,9.79,#N/A,#N/A
E-Compass Acq,iFresh,IFMK,7/27/2016,2/13/2017,148,363%,Food,US/Canada,48.40%,$1.33 ,,0.9603,Long Deng,Long Deng,#N/A,Long Deng,"Yan Hong Xue, CPA",Mark C. Fang,Harvey Leibowitz,Zhou Ping,Jay Walder,,,,,,,,,,,,5/14/2017,8/12/2017,2/8/2018,#N/A,12.8,#N/A,#N/A
Arowana,VivoPower,VVPR,8/11/2016,12/28/2016,53,63%,Energy,Global,73.50%,$9.39 ,,2.8059,Tser Fah Chin,Tser Fah Chin,Tser Fah Chin,#N/A,James Tindal-Robertson,Matthew Cahir,Gemma Godfrey,Michael Singee Hui,Peter Jeavons,"William Langdon, MBA",,,,,,,,,,,3/28/2017,6/26/2017,12/23/2017,#N/A,4.52,#N/A,#N/A
Gores I,Hostess Brands,TWNK,,11/4/2016,"2,292",611%,Food,US/Canada,0.00%,$14.59 ,$1.60 ,115.3259,"Jerry D. Kaminski, MBA",Andrew P. Callahan,Andrew P. Callahan,"Andrew W. Jacobs, MBA","Brian T. Purcell, MBA",Laurence E. Bodner,Andrew P. Callahan,"Gretchen Renee Crist, MBA","Rachel P. Cullen, MBA",Yannis Skoufalos,"Craig D. Steeneck, CPA",,,,,,,,,,2/2/2017,5/3/2017,10/30/2017,#N/A,14.44,#N/A,#N/A
Silver Run I,Centennial Resource Dev,CDEV,7/22/2016,10/11/2016,"1,735",347%,Energy,US/Canada,0.00%,$4.06 ,,27.5779,"Steven J. Shapiro, MBA",Sean R. Smith,#N/A,Matthew R. Garrison,George S. Glyphis,"Maire A. Baldwin, MBA",Karl E. Bandtel,"Matthew Glover Hyde, MBA","Pierre Fernand Lapeyre, Jr., MBA","David Matthew Leuschen, MBA",Sean R. Smith,"Jeffrey Howard Tepper, MBA","Robert M. Tichio, MBA",,,,,,,,1/9/2017,4/9/2017,10/6/2017,#N/A,18.77,#N/A,#N/A
FinTech I,CardConnect,CCN,3/7/2016,7/29/2016,437,438%,Financial,US/Canada,11.20%,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Stanley J. Andersen,Gretchen A. Herron,,,,,,,,,,,,,,10/27/2016,1/25/2017,7/24/2017,#N/A,9,#N/A,#N/A
